what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986038758
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986066597
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986112930
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986128978
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554986137012
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1554986139138
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1554986139616
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1554986139670
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554986142998
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554986146465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986147270
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986161561
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554986166870
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554986186906
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554986188636
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986192197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986196346
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554986200580
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986201903
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986263869
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986268040
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986273545
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554986276515
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554986310198
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1554986318813
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554986324995
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554986327481
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554986329152
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554986330799
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554986360396
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986365321
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986452921
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554986457343
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554987821178
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554987821246
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554987822607
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554987822849
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1554987823088
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1554987823089
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1554987823091
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1554987823093
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1554987823095
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1554987823095
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1554987823095
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1554987823095
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1554987823098
stopped,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1554987823098
stopped,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1554987823098
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1554987823098
