what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554749885489
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554749889832
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554749892024
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554749922006
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1554749926179
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554749975766
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554749977688
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554749979989
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554749981174
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750728995
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554750734803
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1554750738111
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1554750740112
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750741598
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750744624
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750745542
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750751603
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554750753533
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554750755708
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750756752
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750764868
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750769182
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750783154
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750784360
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750785234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554750786449
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1554750787817
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554750789882
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750791983
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750794913
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750796064
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750799014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1554750804874
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554750808920
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750817751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750818320
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750818948
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750848752
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1554750855455
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750856274
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750876973
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554750878385
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554751034441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554751034898
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554751106066
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554751110137
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554751112268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554751113402
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752022024
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554752027299
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554752035734
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554752042461
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554752058733
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752065239
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752090792
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1554752117996
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752125854
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752289140
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1554752297276
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554752297307
activated,view,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views.ContentOutline",1554752298824
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554752298851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752322249
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752326176
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752335404
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554752340530
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554752365787
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554752376488
