what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1553091068073
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1553091068192
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1553091068235
started,bundle,org.eclipse.wst.sse.ui,1.2.2.v201008232126,"org.eclipse.wst.sse.ui",1553091069133
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1553091069168
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.0.v201004080500,"org.eclipse.wst.common.frameworks.ui",1553091069566
started,bundle,org.eclipse.wst.validation.ui,1.2.204.v201004150700,"org.eclipse.wst.validation.ui",1553091069567
started,bundle,org.eclipse.wst.validation,1.2.200.v201005271900,"org.eclipse.wst.validation",1553091069577
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.102.v201008170019,"org.eclipse.wst.common.project.facet.core",1553091069582
started,bundle,org.eclipse.mylyn.wikitext.ui,1.3.0.v20100608-0100-e3x,"org.eclipse.mylyn.wikitext.ui",1553091069967
started,bundle,org.eclipse.mylyn.wikitext.core,1.3.1.v20100823-0100-e3x,"org.eclipse.mylyn.wikitext.core",1553091069977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091080146
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.properties",1553091080172
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091084687
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091102130
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091112137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091115960
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091116628
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091405155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091406984
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091475606
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553091477156
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091481432
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091482691
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553091489407
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553091489489
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1553091495836
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091496738
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091503853
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091504778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091537776
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553091539082
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553091539213
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091541153
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091543187
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553091549169
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553091549173
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091563626
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091565238
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091565271
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091567268
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553091567453
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1553091567649
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1553091567649
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1553091567651
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1553091567655
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1553091567657
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1553091567660
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1553091567662
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1553091567662
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1553091567664
stopped,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1553091567664
stopped,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1553091567664
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1553091567664
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1553091567676
stopped,bundle,org.eclipse.wst.dtd.ui,1.0.500.v201004290328,"org.eclipse.wst.dtd.ui",1553091567678
