what,kind,bundleId,bundleVersion,description,time
started,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1553082471119
started,bundle,org.lejos.nxt.ldt,0.9.0.201202141552,"org.lejos.nxt.ldt",1553082471119
os,sysinfo,,,"win32",1553082471121
arch,sysinfo,,,"x86_64",1553082471121
ws,sysinfo,,,"win32",1553082471121
locale,sysinfo,,,"en_US",1553082471121
processors,sysinfo,,,"8",1553082471121
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1553082471121
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1553082471121
java.specification.name,sysinfo,,,"Java Platform API Specification",1553082471121
java.specification.vendor,sysinfo,,,"Oracle Corporation",1553082471121
java.specification.version,sysinfo,,,"1.8",1553082471121
java.vendor,sysinfo,,,"Oracle Corporation",1553082471121
java.version,sysinfo,,,"1.8.0_201",1553082471121
java.vm.info,sysinfo,,,"mixed mode",1553082471121
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1553082471121
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1553082471121
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1553082471121
java.vm.specification.version,sysinfo,,,"1.8",1553082471121
java.vm.vendor,sysinfo,,,"Oracle Corporation",1553082471121
java.vm.version,sysinfo,,,"25.201-b09",1553082471121
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553082471487
error,log,,,"C:\\Users\\chome\\Downloads\\eclipse\\plugins\\lib\\nxt is not a directory",1553082472760
error,log,,,"C:\\Users\\chome\\Downloads\\eclipse\\plugins\\lib\\nxt is not a directory",1553082472763
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082477466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082480836
error,log,,,"C:\\Users\\chome\\Downloads\\eclipse\\plugins\\lib\\nxt is not a directory",1553082480894
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553082485034
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553082485116
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553082487066
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1553082487164
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082489570
closed,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553082490943
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082491012
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1553082491033
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553082495232
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1553082496014
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082498007
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082499362
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1553082501954
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082503657
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553082504350
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553082510368
