what,kind,bundleId,bundleVersion,description,time
started,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1553077472215
os,sysinfo,,,"win32",1553077472218
arch,sysinfo,,,"x86_64",1553077472218
ws,sysinfo,,,"win32",1553077472218
locale,sysinfo,,,"en_US",1553077472218
processors,sysinfo,,,"8",1553077472218
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1553077472218
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1553077472218
java.specification.name,sysinfo,,,"Java Platform API Specification",1553077472218
java.specification.vendor,sysinfo,,,"Oracle Corporation",1553077472218
java.specification.version,sysinfo,,,"1.8",1553077472218
java.vendor,sysinfo,,,"Oracle Corporation",1553077472218
java.version,sysinfo,,,"1.8.0_201",1553077472218
java.vm.info,sysinfo,,,"mixed mode",1553077472218
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1553077472218
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1553077472218
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1553077472218
java.vm.specification.version,sysinfo,,,"1.8",1553077472218
java.vm.vendor,sysinfo,,,"Oracle Corporation",1553077472218
java.vm.version,sysinfo,,,"25.201-b09",1553077472218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077627610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077632703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077633528
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077636235
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553077638115
started,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1553077642620
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553077662851
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077663057
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077758103
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1553077758722
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1553077760603
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1553077760749
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1553077760779
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1553077761565
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077767667
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077789415
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553077835211
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078301121
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553078303304
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078314601
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078316362
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078323043
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078341190
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078341291
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078341384
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1553078344086
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078344253
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1553078348601
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078348631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1553078366516
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078367234
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078369010
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078370205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1553078373376
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553078437246
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078437489
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553078440718
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078442891
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1553078448189
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078453484
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1553078456489
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078463128
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553078464249
