what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006182487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006255074
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555006258076
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006285330
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006311769
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006312860
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006313348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006313686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006331650
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555006333858
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555006336285
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006337522
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006337545
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006337593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006415053
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555006416207
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006419655
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006429956
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006435352
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006437712
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006439238
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006441068
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555006442139
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555006445332
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1555006447352
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1555006447818
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006460889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006465245
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006465725
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006471027
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006472297
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555006473432
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555006475519
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006476415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006493247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006494902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006642462
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.debug",1555006647069
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006658137
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006670860
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006686004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006697817
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555006702097
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006707916
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555006732711
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555006734645
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006738627
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006746416
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555006778051
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555006784703
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006786487
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006824418
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555006838114
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555006840100
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006843166
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006873397
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006880188
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006966599
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555006967808
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555006988778
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555006995077
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007006541
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555007033175
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1555007039326
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555007041611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555007059434
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555007060280
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555007062663
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007063852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007067456
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007095896
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007098185
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555007107482
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555007128671
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007130031
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007152681
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555007154122
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555007156987
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007157776
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007157794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007157865
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555007172612
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555007202556
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555007213668
