what,kind,bundleId,bundleVersion,description,time
started,bundle,org.lejos.ev3.ldt,0.9.1.201511161011,"org.lejos.ev3.ldt",1554993286214
os,sysinfo,,,"win32",1554993286219
arch,sysinfo,,,"x86_64",1554993286219
ws,sysinfo,,,"win32",1554993286219
locale,sysinfo,,,"en_US",1554993286219
processors,sysinfo,,,"8",1554993286219
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1554993286219
java.runtime.version,sysinfo,,,"1.8.0_201-b09",1554993286219
java.specification.name,sysinfo,,,"Java Platform API Specification",1554993286219
java.specification.vendor,sysinfo,,,"Oracle Corporation",1554993286219
java.specification.version,sysinfo,,,"1.8",1554993286219
java.vendor,sysinfo,,,"Oracle Corporation",1554993286219
java.version,sysinfo,,,"1.8.0_201",1554993286219
java.vm.info,sysinfo,,,"mixed mode",1554993286219
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1554993286219
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1554993286219
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1554993286219
java.vm.specification.version,sysinfo,,,"1.8",1554993286219
java.vm.vendor,sysinfo,,,"Oracle Corporation",1554993286219
java.vm.version,sysinfo,,,"25.201-b09",1554993286219
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554993287968
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1554993288483
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993289045
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993291248
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1554993291274
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993298933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993311798
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993312228
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993313639
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993316369
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993318568
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.newWizard",1554993318578
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993321488
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993322809
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993328389
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993329768
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.import",1554993329787
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993334138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993349188
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993354428
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993355798
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554993355898
opened,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1554993355978
activated,perspective,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavaPerspective",1554993356158
closed,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1554993356258
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1554993356678
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.window.resetPerspective",1554993356678
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554993358010
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554993361369
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554993361463
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1554993365438
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1554993365513
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1554993366588
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1554993367688
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1554993367728
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1554993367848
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1554993367928
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993372258
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993385903
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1554993387798
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.SourceView",1554993387814
opened,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1554993388842
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1554993388876
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993391333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993391341
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993414046
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993445019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993448300
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554993466092
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1554993468310
