what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098135383
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1553098137579
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098139004
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098162257
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098169822
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553098179865
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098182736
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1553098185199
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098190479
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098201840
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098213437
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098213805
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098215500
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553098262310
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098263159
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1553098266488
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098352053
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098426020
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098429688
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1553098447014
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1553098450643
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553098463037
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098467403
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1553098478369
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553098502029
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1553098521520
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098525316
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1553098565172
