what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554999968191
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1554999971408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000049258
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000056889
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000085148
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1555000109000
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000121257
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000150621
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1555000155843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1555000160337
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000169543
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000169642
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000183130
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555000184461
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555000184596
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000190616
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000190689
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000192941
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000193042
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000203894
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000204632
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000209410
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555000210731
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555000214174
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000215538
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000229762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000233881
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000264625
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000285707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000286670
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000287193
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000340850
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555000343299
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1555000347354
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555000347997
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555000350717
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000351933
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000462910
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000470544
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000558596
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555000562094
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000563818
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000617281
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555000619007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1555000624933
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000641163
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000644290
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000720339
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000729619
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555000733991
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555000734609
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555000736879
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000738498
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000833404
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000836615
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000898736
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000898778
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000986995
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000988637
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000989475
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555000990866
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001015119
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555001019732
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001047960
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001054982
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555001055886
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1555001067353
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001070408
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001247355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001254285
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001886787
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555001887601
executed,command,,,"org.lejos.ev3.ldt.LaunchEV3Shortcut.run",1555001889813
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001899183
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001899269
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001899281
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001925263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555001932923
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002554889
activated,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1555002564160
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555002564648
activated,view,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1555002566491
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1555002566513
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002570519
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002571541
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002585915
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002585927
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002585995
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002589298
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1555002596772
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002597593
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1555002653687
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1555002703746
